Er;P_100K
1.45065e+1; 4.05897e-3
1.48387e+1; 6.01451e-3
1.50972e+1; 9.94617e-3
1.53187e+1; 1.28935e-2
1.57002e+1; 2.47085e-2
1.59463e+1; 3.75165e-2
1.62294e+1; 4.93365e-2
1.63402e+1; 5.82066e-2
1.64755e+1; 6.46100e-2
1.67217e+1; 8.18559e-2
1.69432e+1; 9.56514e-2
1.72016e+1; 1.12404e-1
1.73124e+1; 1.21274e-1
1.74477e+1; 1.27184e-1
1.76816e+1; 1.44924e-1
1.77739e+1; 1.52808e-1
1.79031e+1; 1.60691e-1
1.81246e+1; 1.77445e-1
1.82108e+1; 1.82372e-1
1.83092e+1; 1.93708e-1
1.85307e+1; 2.14900e-1
1.87276e+1; 2.32642e-1
1.89122e+1; 2.49398e-1
1.90230e+1; 2.67144e-1
1.91091e+1; 2.71084e-1
1.93060e+1; 2.92770e-1
1.93922e+1; 3.05586e-1
1.95153e+1; 3.09525e-1
1.97245e+1; 3.33183e-1
1.97860e+1; 3.47973e-1
1.98598e+1; 3.51914e-1
1.99645e+1; 3.59798e-1
