eps2,mass,e,flux
5e-09,0.01,0.13497,5.018862702754315e-11
5e-09,0.01,0.16188700853357427,4.106982206426355e-11
5e-09,0.01,0.19417206439912238,3.0263375303421246e-11
5e-09,0.01,0.23289571494674718,2.511326377081058e-11
5e-09,0.01,0.27934200632004846,1.904800790003302e-11
5e-09,0.01,0.33505106142786867,1.5670465574919157e-11
5e-09,0.01,0.401870149222468,1.1721622047636689e-11
5e-09,0.01,0.4820149387016851,9.455697033973131e-12
5e-09,0.01,0.578142968770171,9.237249098313379e-12
5e-09,0.01,0.6934417701631669,7.194323770020873e-12
5e-09,0.01,0.8317345614873042,5.112848427380396e-12
5e-09,0.01,0.9976070241769568,3.859105145967596e-12
5e-09,0.01,1.1965593601251292,2.5509817476455914e-12
5e-09,0.01,1.4351886741016888,1.9044146543340587e-12
5e-09,0.01,1.721407728618132,1.2291758872726704e-12
5e-09,0.01,2.064707324980101,8.888076402062167e-13
5e-09,0.01,2.4764710108793575,5.514632777080691e-13
5e-09,0.01,2.9703525499842622,3.79568828990278e-13
5e-09,0.01,3.56272867012689,2.1745055723444683e-13
5e-09,0.01,4.273242102864648,1.4697670305938375e-13
5e-09,0.01,5.125452921186028,8.182944839164334e-14
5e-09,0.01,6.147619773212385,5.514366811845688e-14
5e-09,0.01,7.373636916997876,3.148578566780994e-14
5e-09,0.01,8.844158127772937,2.1319394985350758e-14
5e-09,0.01,10.607944745521664,1.2213019138418253e-14
5e-09,0.01,12.723482563102534,8.187101353430927e-15
5e-09,0.01,15.260921169665588,4.70195686694573e-15
5e-09,0.01,18.30440005648556,3.1100667334935343e-15
5e-09,0.01,21.954838617072213,1.784336566184982e-15
5e-09,0.01,26.333282555791758,1.1801010688467033e-15
5e-09,0.01,31.584917669307885,6.629344582532977e-16
5e-09,0.01,37.883884094713515,4.315214909249195e-16
5e-09,0.01,45.43905066107897,2.402997297733076e-16
5e-09,0.01,54.5009408174232,1.5324838486393707e-16
5e-09,0.01,65.37003979549537,8.552539960798904e-17
5e-09,0.01,78.40675846642554,5.497973253679481e-17
5e-09,0.01,94.04338428498275,2.990296141863767e-17
5e-09,0.01,112.79841560546205,1.8748010202506752e-17
5e-09,0.01,135.29375468396742,1.0191446459242253e-17
5e-09,0.01,162.27532947368118,6.215440423260168e-18
5e-09,0.01,194.63782801581382,3.3251102392660634e-18
5e-09,0.01,233.45436559941044,1.9984792953243268e-18
5e-09,0.01,280.0120684299615,1.0276231817545009e-18
5e-09,0.01,335.85475373360737,5.8245907892527835e-19
5e-09,0.01,402.8341215360003,2.900452714093624e-19
5e-09,0.01,483.1711555954168,1.5606759382725604e-19
5e-09,0.01,579.5297694973116,7.324376380092017e-20
5e-09,0.01,695.1051399575583,3.657090761463239e-20
5e-09,0.01,833.7296563980192,1.535478523632351e-20
5e-09,0.01,1000.0,6.631938048655571e-21
5e-09,0.02,0.13497,2.0228787511969276e-11
5e-09,0.02,0.16188700853357427,1.6607192902955988e-11
5e-09,0.02,0.19417206439912238,1.2315944289714036e-11
5e-09,0.02,0.23289571494674718,1.0307805339188329e-11
5e-09,0.02,0.27934200632004846,7.941960226490572e-12
5e-09,0.02,0.33505106142786867,6.593236394220582e-12
5e-09,0.02,0.401870149222468,5.015095915509248e-12
5e-09,0.02,0.4820149387016851,4.077348626005099e-12
5e-09,0.02,0.578142968770171,4.6941490980447135e-12
5e-09,0.02,0.6934417701631669,3.66206089626581e-12
5e-09,0.02,0.8317345614873042,2.6946359310664784e-12
5e-09,0.02,0.9976070241769568,2.0371713285206134e-12
5e-09,0.02,1.1965593601251292,1.3724251890973069e-12
5e-09,0.02,1.4351886741016888,1.0257996980473036e-12
5e-09,0.02,1.721407728618132,6.728143259143148e-13
5e-09,0.02,2.064707324980101,4.849265140713529e-13
5e-09,0.02,2.4764710108793575,3.056039893590228e-13
5e-09,0.02,2.9703525499842622,2.0845017473676457e-13
5e-09,0.02,3.56272867012689,1.2090330287217865e-13
5e-09,0.02,4.273242102864648,8.072870408723059e-14
5e-09,0.02,5.125452921186028,4.5441452430776774e-14
5e-09,0.02,6.147619773212385,3.0160646492771915e-14
5e-09,0.02,7.373636916997876,1.7418390679781627e-14
5e-09,0.02,8.844158127772937,1.16319993491215e-14
5e-09,0.02,10.607944745521664,6.7190433604973774e-15
5e-09,0.02,12.723482563102534,4.428507750034149e-15
