dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
2.4203798729065807e-13,0.54785,0.0,0.01,5e-09
1.3495255107636958e-13,0.7822062117888534,0.0,0.01,5e-09
7.576289054522699e-14,1.1168140143489433,0.0,0.01,5e-09
3.939259421373372e-14,1.59455847300646,0.0,0.01,5e-09
1.8250131697708283e-14,2.2766697867047583,0.0,0.01,5e-09
7.431598491784033e-15,3.2505708667563495,0.0,0.01,5e-09
2.8160863401093715e-15,4.641081908983652,0.0,0.01,5e-09
1.07621880153569e-15,6.62641799512254,0.0,0.01,5e-09
4.139526718762342e-16,9.461030058764791,0.0,0.01,5e-09
1.5608545123127357e-16,13.508216632083379,0.0,0.01,5e-09
5.768722678904522e-17,19.286686063347865,0.0,0.01,5e-09
2.1092015080051502e-17,27.53703685967364,0.0,0.01,5e-09
7.67249248110638e-18,39.316676619321605,0.0,0.01,5e-09
2.814086500376006e-18,56.135344854480145,0.0,0.01,5e-09
1.0916260809804731e-18,80.14860900991847,0.0,0.01,5e-09
4.265577548905289e-19,114.43413312730532,0.0,0.01,5e-09
1.6503818526122937e-19,163.38612717504964,0.0,0.01,5e-09
6.386751273556034e-20,233.27853170840072,0.0,0.01,5e-09
2.5312091978944092e-20,333.0691185165537,0.0,0.01,5e-09
1.0016286212015196e-20,475.54756495151315,0.0,0.01,5e-09
3.910599533529751e-21,678.9746450782816,0.0,0.01,5e-09
1.5146227424918795e-21,969.4226248560072,0.0,0.01,5e-09
5.953046561118749e-22,1384.116818492334,0.0,0.01,5e-09
2.351780226503967e-22,1976.2065771034552,0.0,0.01,5e-09
9.136641229227754e-23,2821.577184244427,0.0,0.01,5e-09
3.4809645634811956e-23,4028.575706046721,0.0,0.01,5e-09
1.339213723954772e-23,5751.897311182639,0.0,0.01,5e-09
5.202428010178056e-24,8212.41180319186,0.0,0.01,5e-09
1.982594007461224e-24,11725.471436022235,0.0,0.01,5e-09
7.390593198861804e-25,16741.328088727485,0.0,0.01,5e-09
2.7360206519569276e-25,23902.839873319055,0.0,0.01,5e-09
1.0291215057354168e-25,34127.86315287849,0.0,0.01,5e-09
3.7665713537272194e-26,48726.889756797405,0.0,0.01,5e-09
1.331093649229992e-26,69571.00638663422,0.0,0.01,5e-09
4.6313142546221436e-27,99331.70275810415,0.0,0.01,5e-09
1.6137637827781993e-27,141823.2635300776,0.0,0.01,5e-09
5.477791964509907e-28,202491.62673979037,0.0,0.01,5e-09
1.7546812140393958e-28,289112.363367882,0.0,0.01,5e-09
5.481908287879854e-29,412787.2347016762,0.0,0.01,5e-09
1.7085830051925743e-29,589367.051438887,0.0,0.01,5e-09
5.2126388634264704e-30,841483.1955082207,0.0,0.01,5e-09
1.5090671686855934e-30,1201448.1749428932,0.0,0.01,5e-09
4.345658081113303e-31,1715396.9619105805,0.0,0.01,5e-09
1.290381711166116e-31,2449199.8891853336,0.0,0.01,5e-09
3.8842219631346663e-32,3496904.932432852,0.0,0.01,5e-09
1.1639008149501913e-32,4992791.384839018,0.0,0.01,5e-09
3.529794900958417e-33,7128579.785318896,0.0,0.01,5e-09
1.1038605383355086e-33,10178003.813651342,0.0,0.01,5e-09
3.670838601331986e-34,14531893.413614519,0.0,0.01,5e-09
1.2494865729556687e-34,20748265.57850291,0.0,0.01,5e-09
5.764074484790818e-13,0.54785,0.2,0.01,5e-09
3.2133988920527076e-13,0.7822062117888534,0.2,0.01,5e-09
1.8036661626897556e-13,1.1168140143489433,0.2,0.01,5e-09
9.376264059730039e-14,1.59455847300646,0.2,0.01,5e-09
4.343617515071542e-14,2.2766697867047583,0.2,0.01,5e-09
1.7692897468406238e-14,3.2505708667563495,0.2,0.01,5e-09
6.711098030678378e-15,4.641081908983652,0.2,0.01,5e-09
2.5687696668612564e-15,6.62641799512254,0.2,0.01,5e-09
9.902324900520674e-16,9.461030058764791,0.2,0.01,5e-09
3.7434876664856855e-16,13.508216632083379,0.2,0.01,5e-09
1.3874810058468803e-16,19.286686063347865,0.2,0.01,5e-09
5.0862796971075226e-17,27.53703685967364,0.2,0.01,5e-09
1.859002685202167e-17,39.316676619321605,0.2,0.01,5e-09
6.887041579037027e-18,56.135344854480145,0.2,0.01,5e-09
2.6520648327114186e-18,80.14860900991847,0.2,0.01,5e-09
1.037744429616417e-18,114.43413312730532,0.2,0.01,5e-09
