dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
5.727553194873313e-15,0.7829999999999999,0.0,0.01,5e-09
3.74112074367572e-15,1.1098289481382733,0.0,0.01,5e-09
2.2884182718987777e-15,1.57307828113117,0.0,0.01,5e-09
1.2388081399121996e-15,2.2296906948748014,0.0,0.01,5e-09
5.758439998828076e-16,3.160377111834734,0.0,0.01,5e-09
2.2875983900243985e-16,4.479537682947403,0.0,0.01,5e-09
8.582067721664456e-17,6.34932387587647,0.0,0.01,5e-09
3.2679186168438014e-17,8.999570164180339,0.0,0.01,5e-09
1.2222390620170244e-17,12.756045324404672,0.0,0.01,5e-09
4.430788685339877e-18,18.08049599589806,0.0,0.01,5e-09
1.5540380924202546e-18,25.627404665320306,0.0,0.01,5e-09
5.346170508513229e-19,36.32443877806682,0.0,0.01,5e-09
1.8805741005538198e-19,51.48647979664753,0.0,0.01,5e-09
6.946778608957557e-20,72.97724867950929,0.0,0.01,5e-09
2.65688038124838e-20,103.43839481482117,0.0,0.01,5e-09
1.05871384243983e-20,146.61420806442456,0.0,0.01,5e-09
4.2424126861351885e-21,207.81186758399272,0.0,0.01,5e-09
1.728604885149445e-21,294.5538012916894,0.0,0.01,5e-09
6.952814205986918e-22,417.5023441349754,0.0,0.01,5e-09
2.753977399941134e-22,591.7703543251376,0.0,0.01,5e-09
1.0970635016797473e-22,838.7788887357357,0.0,0.01,5e-09
4.4074688255843344e-23,1188.8902832773583,0.0,0.01,5e-09
1.7821321728978214e-23,1685.1402969878986,0.0,0.01,5e-09
7.062847425572622e-24,2388.528075697953,0.0,0.01,5e-09
2.7803626517477443e-24,3385.5141786086774,0.0,0.01,5e-09
1.0948401359605058e-24,4798.6483266315145,0.0,0.01,5e-09
4.340230629900217e-25,6801.63323733198,0.0,0.01,5e-09
1.7155925094292434e-25,9640.676195926519,0.0,0.01,5e-09
6.626598725620484e-26,13664.752901490194,0.0,0.01,5e-09
2.5439942153382235e-26,19368.503626092315,0.0,0.01,5e-09
9.705065620451905e-27,27453.03449087915,0.0,0.01,5e-09
3.716291686297329e-27,38912.09756349444,0.0,0.01,5e-09
1.3985865828331691e-27,55154.24305076234,0.0,0.01,5e-09
5.089889849199297e-28,78175.9585573311,0.0,0.01,5e-09
1.831214294693596e-28,110807.07772079701,0.0,0.01,5e-09
6.518589585563849e-29,157058.6238992951,0.0,0.01,5e-09
2.2957553899714806e-29,222615.84592362633,0.0,0.01,5e-09
7.750889036077606e-30,315537.0499621075,0.0,0.01,5e-09
2.517689547916298e-30,447244.1280435491,0.0,0.01,5e-09
