dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
7.770245084759323e-17,1.019,0.0,0.01,5e-09
7.105054699563308e-17,1.4365922627819576,0.0,0.01,5e-09
5.845471459913933e-17,2.0253163194160795,0.0,0.01,5e-09
4.0157650034667916e-17,2.8553029972121413,0.0,0.01,5e-09
2.2571713762354467e-17,4.025423153771439,0.0,0.01,5e-09
1.1462501260022253e-17,5.675065512395874,0.0,0.01,5e-09
6.05819539346354e-18,8.000741124522708,0.0,0.01,5e-09
3.175489348644415e-18,11.279492439657256,0.0,0.01,5e-09
1.3993703633745378e-18,15.90189555144181,0.0,0.01,5e-09
5.837447882350214e-19,22.418586960518287,0.0,0.01,5e-09
2.398881039703561e-19,31.605857281634012,0.0,0.01,5e-09
9.724846163629314e-20,44.55812564218471,0.0,0.01,5e-09
3.883720006268024e-20,62.81831063947881,0.0,0.01,5e-09
1.5675082702597032e-20,88.56162809196152,0.0,0.01,5e-09
6.28531780888685e-21,124.85471020243885,0.0,0.01,5e-09
2.5092724811841675e-21,176.02091329608157,0.0,0.01,5e-09
1.0003926668265583e-21,248.15533084294873,0.0,0.01,5e-09
3.962347722841462e-22,349.8508618813319,0.0,0.01,5e-09
1.6079916877073579e-22,493.22182660090334,0.0,0.01,5e-09
6.560781636120126e-23,695.3470656820822,0.0,0.01,5e-09
2.65092260310852e-23,980.3044303307337,0.0,0.01,5e-09
1.061604689114833e-23,1382.039018433766,0.0,0.01,5e-09
4.2429941327584075e-24,1948.4068309565441,0.0,0.01,5e-09
1.7131272204416056e-24,2746.8755427906613,0.0,0.01,5e-09
6.972859008043926e-25,3872.561483413205,0.0,0.01,5e-09
2.795713310121523e-25,5459.56022003811,0.0,0.01,5e-09
1.0999943033895221e-25,7696.920481156926,0.0,0.01,5e-09
4.3125216977829174e-26,10851.16428898726,0.0,0.01,5e-09
1.7097434041060884e-26,15298.035976187428,0.0,0.01,5e-09
6.73926298410744e-27,21567.26213851904,0.0,0.01,5e-09
2.6230885819602592e-27,30405.654482420672,0.0,0.01,5e-09
9.952852350438835e-28,42866.07259496282,0.0,0.01,5e-09
3.7261377207541437e-28,60432.84418623487,0.0,0.01,5e-09
1.382127776582203e-28,85198.58329328035,0.0,0.01,5e-09
5.061367801025398e-29,120113.46963602628,0.0,0.01,5e-09
1.8189443667215475e-29,169336.68413641874,0.0,0.01,5e-09
6.197124649362594e-30,238731.8648042508,0.0,0.01,5e-09
2.120828609320365e-30,336565.60339283146,0.0,0.01,5e-09
6.939081936534429e-31,474492.1901400215,0.0,0.01,5e-09
2.252114608256784e-31,668941.9127631214,0.0,0.01,5e-09
7.156079006810946e-32,943078.2886418686,0.0,0.01,5e-09
2.1292468690990263e-32,1329557.382395053,0.0,0.01,5e-09
6.551867576509703e-33,1874417.9082172392,0.0,0.01,5e-09
1.9538178433549483e-33,2642565.5192981586,0.0,0.01,5e-09
6.203323463118204e-34,3725504.5916762734,0.0,0.01,5e-09
1.9819039111674685e-34,5252238.53911756,0.0,0.01,5e-09
6.338263897210286e-35,7404637.141885661,0.0,0.01,5e-09
2.0355677374846723e-35,10439101.498273656,0.0,0.01,5e-09
6.584739710039577e-36,14717107.402174173,0.0,0.01,5e-09
2.3101229733236863e-36,20748265.57850291,0.0,0.01,5e-09
1.8484833613952046e-16,1.019,0.2,0.01,5e-09
1.6901225069925427e-16,1.4365922627819576,0.2,0.01,5e-09
1.390514060253239e-16,2.0253163194160795,0.2,0.01,5e-09
9.55575991767878e-17,2.8553029972121413,0.2,0.01,5e-09
5.37366885988894e-17,4.025423153771439,0.2,0.01,5e-09
2.7303518041333763e-17,5.675065512395874,0.2,0.01,5e-09
1.4445027795148583e-17,8.000741124522708,0.2,0.01,5e-09
7.576328673889216e-18,11.279492439657256,0.2,0.01,5e-09
3.339017385709819e-18,15.90189555144181,0.2,0.01,5e-09
1.3967178751701844e-18,22.418586960518287,0.2,0.01,5e-09
5.748170797117264e-19,31.605857281634012,0.2,0.01,5e-09
2.335293181816419e-19,44.55812564218471,0.2,0.01,5e-09
9.329014977158151e-20,62.81831063947881,0.2,0.01,5e-09
3.766871736691733e-20,88.56162809196152,0.2,0.01,5e-09
1.5100536989656154e-20,124.85471020243885,0.2,0.01,5e-09
6.031564329023399e-21,176.02091329608157,0.2,0.01,5e-09
2.4050568102933468e-21,248.15533084294873,0.2,0.01,5e-09
9.525161858565347e-22,349.8508618813319,0.2,0.01,5e-09
3.8635084613868953e-22,493.22182660090334,0.2,0.01,5e-09
1.5748500024384887e-22,695.3470656820822,0.2,0.01,5e-09
6.354574412766392e-23,980.3044303307337,0.2,0.01,5e-09
2.5480101033112274e-23,1382.039018433766,0.2,0.01,5e-09
1.0163297741029456e-23,1948.4068309565441,0.2,0.01,5e-09
4.094089071203105e-24,2746.8755427906613,0.2,0.01,5e-09
1.6622541612300888e-24,3872.561483413205,0.2,0.01,5e-09
6.645216695927079e-25,5459.56022003811,0.2,0.01,5e-09
2.606257697122414e-25,7696.920481156926,0.2,0.01,5e-09
1.0183557982070025e-25,10851.16428898726,0.2,0.01,5e-09
4.024075590589719e-26,15298.035976187428,0.2,0.01,5e-09
1.5811453757504793e-26,21567.26213851904,0.2,0.01,5e-09
6.134583098484535e-27,30405.654482420672,0.2,0.01,5e-09
2.319723787113439e-27,42866.07259496282,0.2,0.01,5e-09
8.658595106847625e-28,60432.84418623487,0.2,0.01,5e-09
3.202758766849731e-28,85198.58329328035,0.2,0.01,5e-09
1.1697395421190122e-28,120113.46963602628,0.2,0.01,5e-09
4.193575909870308e-29,169336.68413641874,0.2,0.01,5e-09
1.4252137958497297e-29,238731.8648042508,0.2,0.01,5e-09
4.860074785555898e-30,336565.60339283146,0.2,0.01,5e-09
1.5870542057079374e-30,474492.1901400215,0.2,0.01,5e-09
5.142793463597673e-31,668941.9127631214,0.2,0.01,5e-09
1.631848599215368e-31,943078.2886418686,0.2,0.01,5e-09
4.848932037098131e-32,1329557.382395053,0.2,0.01,5e-09
1.4903239732894886e-32,1874417.9082172392,0.2,0.01,5e-09
4.439013179280557e-33,2642565.5192981586,0.2,0.01,5e-09
1.4079287800065673e-33,3725504.5916762734,0.2,0.01,5e-09
4.493727909571414e-34,5252238.53911756,0.2,0.01,5e-09
1.4356751703818646e-34,7404637.141885661,0.2,0.01,5e-09
4.6068837790613206e-35,10439101.498273656,0.2,0.01,5e-09
1.4889520547724685e-35,14717107.402174173,0.2,0.01,5e-09
5.21859560719699e-36,20748265.57850291,0.2,0.01,5e-09
2.3066798428840534e-16,1.019,0.4,0.01,5e-09
2.1090370792049743e-16,1.4365922627819576,0.4,0.01,5e-09
1.7353036375265404e-16,2.0253163194160795,0.4,0.01,5e-09
1.1928933553769095e-16,2.8553029972121413,0.4,0.01,5e-09
6.712711527360327e-17,4.025423153771439,0.4,0.01,5e-09
3.413418963312293e-17,5.675065512395874,0.4,0.01,5e-09
1.8069133820466583e-17,8.000741124522708,0.4,0.01,5e-09
9.481394526469057e-18,11.279492439657256,0.4,0.01,5e-09
4.183635280271045e-18,15.90189555144181,0.4,0.01,5e-09
1.7523748224865836e-18,22.418586960518287,0.4,0.01,5e-09
7.220518314561762e-19,31.605857281634012,0.4,0.01,5e-09
2.938069461986931e-19,44.55812564218471,0.4,0.01,5e-09
1.1724991362116174e-19,62.81831063947881,0.4,0.01,5e-09
4.7332612026914797e-20,88.56162809196152,0.4,0.01,5e-09
1.8983091144645943e-20,124.85471020243885,0.4,0.01,5e-09
7.583090437417459e-21,176.02091329608157,0.4,0.01,5e-09
3.0264868611601168e-21,248.15533084294873,0.4,0.01,5e-09
1.1981518021290647e-21,349.8508618813319,0.4,0.01,5e-09
4.856377274314759e-22,493.22182660090334,0.4,0.01,5e-09
1.9775075429647982e-22,695.3470656820822,0.4,0.01,5e-09
7.968642407570876e-23,980.3044303307337,0.4,0.01,5e-09
3.190072145246064e-23,1382.039018433766,0.4,0.01,5e-09
1.270127020629709e-23,1948.4068309565441,0.4,0.01,5e-09
5.1079393740631925e-24,2746.8755427906613,0.4,0.01,5e-09
2.0692794047049073e-24,3872.561483413205,0.4,0.01,5e-09
8.254637510755591e-25,5459.56022003811,0.4,0.01,5e-09
3.230360561172209e-25,7696.920481156926,0.4,0.01,5e-09
1.2594557753653682e-25,10851.16428898726,0.4,0.01,5e-09
4.9667147748969995e-26,15298.035976187428,0.4,0.01,5e-09
1.9478925103060882e-26,21567.26213851904,0.4,0.01,5e-09
7.54386694295669e-27,30405.654482420672,0.4,0.01,5e-09
2.8465933841453032e-27,42866.07259496282,0.4,0.01,5e-09
1.061161002181536e-27,60432.84418623487,0.4,0.01,5e-09
3.9188881016475594e-28,85198.58329328035,0.4,0.01,5e-09
1.4278821737719012e-28,120113.46963602628,0.4,0.01,5e-09
5.111791031527618e-29,169336.68413641874,0.4,0.01,5e-09
1.734738512131103e-29,238731.8648042508,0.4,0.01,5e-09
5.916076670836319e-30,336565.60339283146,0.4,0.01,5e-09
1.929449112706899e-30,474492.1901400215,0.4,0.01,5e-09
6.245776468831646e-31,668941.9127631214,0.4,0.01,5e-09
1.9799431813331154e-31,943078.2886418686,0.4,0.01,5e-09
5.877700366052128e-32,1329557.382395053,0.4,0.01,5e-09
1.8050076309583142e-32,1874417.9082172392,0.4,0.01,5e-09
5.371590562727979e-33,2642565.5192981586,0.4,0.01,5e-09
1.7024319880116298e-33,3725504.5916762734,0.4,0.01,5e-09
5.429553453345631e-34,5252238.53911756,0.4,0.01,5e-09
1.7334565775291714e-34,7404637.141885661,0.4,0.01,5e-09
5.558520890650951e-35,10439101.498273656,0.4,0.01,5e-09
1.7953213650867625e-35,14717107.402174173,0.4,0.01,5e-09
6.287643922733795e-36,20748265.57850291,0.4,0.01,5e-09
2.6703826648669605e-16,1.019,0.6,0.01,5e-09
2.441582565393646e-16,1.4365922627819576,0.6,0.01,5e-09
2.0090391369016242e-16,2.0253163194160795,0.6,0.01,5e-09
1.3814964465354427e-16,2.8553029972121413,0.6,0.01,5e-09
7.779141595255444e-17,4.025423153771439,0.6,0.01,5e-09
3.95870626292896e-17,5.675065512395874,0.6,0.01,5e-09
2.0965253400793223e-17,8.000741124522708,0.6,0.01,5e-09
1.100440767187477e-17,11.279492439657256,0.6,0.01,5e-09
4.8589038433576434e-18,15.90189555144181,0.6,0.01,5e-09
2.0371864077027393e-18,22.418586960518287,0.6,0.01,5e-09
8.400922001455108e-19,31.605857281634012,0.6,0.01,5e-09
3.4214728550529943e-19,44.55812564218471,0.6,0.01,5e-09
1.367220222898522e-19,62.81831063947881,0.6,0.01,5e-09
5.520322940008714e-20,88.56162809196152,0.6,0.01,5e-09
2.2126707740697682e-20,124.85471020243885,0.6,0.01,5e-09
8.836757332161251e-21,176.02091329608157,0.6,0.01,5e-09
3.521218560713669e-21,248.15533084294873,0.6,0.01,5e-09
1.3955000022485122e-21,349.8508618813319,0.6,0.01,5e-09
5.651372648958726e-22,493.22182660090334,0.6,0.01,5e-09
2.2986686219951715e-22,695.3470656820822,0.6,0.01,5e-09
9.250286186346658e-23,980.3044303307337,0.6,0.01,5e-09
3.697385339207472e-23,1382.039018433766,0.6,0.01,5e-09
1.4696292575177333e-23,1948.4068309565441,0.6,0.01,5e-09
5.889987038468697e-24,2746.8755427906613,0.6,0.01,5e-09
2.3820777074699785e-24,3872.561483413205,0.6,0.01,5e-09
9.48551499764961e-25,5459.56022003811,0.6,0.01,5e-09
3.705289640987641e-25,7696.920481156926,0.6,0.01,5e-09
1.4420855939485101e-25,10851.16428898726,0.6,0.01,5e-09
5.677540215027232e-26,15298.035976187428,0.6,0.01,5e-09
2.2232875812885592e-26,21567.26213851904,0.6,0.01,5e-09
8.59757445830358e-27,30405.654482420672,0.6,0.01,5e-09
3.23914794809108e-27,42866.07259496282,0.6,0.01,5e-09
1.2057872036645292e-27,60432.84418623487,0.6,0.01,5e-09
4.4475387109427155e-28,85198.58329328035,0.6,0.01,5e-09
1.619933355621987e-28,120113.46963602628,0.6,0.01,5e-09
5.79374780855888e-29,169336.68413641874,0.6,0.01,5e-09
1.9639994964417968e-29,238731.8648042508,0.6,0.01,5e-09
6.691242967833201e-30,336565.60339283146,0.6,0.01,5e-09
2.180205630747654e-30,474492.1901400215,0.6,0.01,5e-09
7.051985546435068e-31,668941.9127631214,0.6,0.01,5e-09
2.233920276509092e-31,943078.2886418686,0.6,0.01,5e-09
6.626963585457356e-32,1329557.382395053,0.6,0.01,5e-09
2.0338343101192e-32,1874417.9082172392,0.6,0.01,5e-09
6.048620023104485e-33,2642565.5192981586,0.6,0.01,5e-09
1.915931191034468e-33,3725504.5916762734,0.6,0.01,5e-09
6.1070844085756816e-34,5252238.53911756,0.6,0.01,5e-09
1.9485985069796226e-34,7404637.141885661,0.6,0.01,5e-09
6.245681969309897e-35,10439101.498273656,0.6,0.01,5e-09
2.0162800002907766e-35,14717107.402174173,0.6,0.01,5e-09
7.057623266512669e-36,20748265.57850291,0.6,0.01,5e-09
3.0227265550579843e-16,1.019,0.8,0.01,5e-09
2.763695189673948e-16,1.4365922627819576,0.8,0.01,5e-09
2.2741939877935373e-16,2.0253163194160795,0.8,0.01,5e-09
1.5643154416079153e-16,2.8553029972121413,0.8,0.01,5e-09
8.814987257942232e-17,4.025423153771439,0.8,0.01,5e-09
4.4891771387579477e-17,5.675065512395874,0.8,0.01,5e-09
2.3786868070264082e-17,8.000741124522708,0.8,0.01,5e-09
1.2487644694775969e-17,11.279492439657256,0.8,0.01,5e-09
5.5185221934001705e-18,15.90189555144181,0.8,0.01,5e-09
2.3160831406917595e-18,22.418586960518287,0.8,0.01,5e-09
9.557676045826976e-19,31.605857281634012,0.8,0.01,5e-09
3.8948546956545323e-19,44.55812564218471,0.8,0.01,5e-09
1.5563732377969345e-19,62.81831063947881,0.8,0.01,5e-09
