dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
4.641690618128129e-12,0.13497,0.0,0.01,5e-09
2.806079732146887e-12,0.19369106435010147,0.0,0.01,5e-09
1.7719330473414872e-12,0.2779597570502715,0.0,0.01,5e-09
1.095253724814859e-12,0.3988910216311973,0.0,0.01,5e-09
6.421638362983716e-13,0.5724355526372227,0.0,0.01,5e-09
3.4533383912366224e-13,0.8214836738693203,0.0,0.01,5e-09
1.6780385737848214e-13,1.1788845457359436,0.0,0.01,5e-09
7.922344697428401e-14,1.6917789316846765,0.0,0.01,5e-09
3.5170395924825564e-14,2.4278170106177854,0.0,0.01,5e-09
1.3946983689792822e-14,3.484081357589393,0.0,0.01,5e-09
5.280086970095162e-15,4.999892023663302,0.0,0.01,5e-09
2.059189627767369e-15,7.175182690219515,0.0,0.01,5e-09
8.194166446365519e-16,10.29687169130208,0.0,0.01,5e-09
3.261866994661997e-16,14.776706211489447,0.0,0.01,5e-09
1.2933827643973353e-16,21.20557126540821,0.0,0.01,5e-09
5.04436490814266e-17,30.43142675075086,0.0,0.01,5e-09
1.9291127333704382e-17,43.671152382344836,0.0,0.01,5e-09
7.286131839407026e-18,62.671052725285904,0.0,0.01,5e-09
2.7309183811487713e-18,89.9371927561825,0.0,0.01,5e-09
1.028353009403061e-18,129.06594494780484,0.0,0.01,5e-09
3.8801149702216275e-19,185.218346656975,0.0,0.01,5e-09
1.4799056872636878e-19,265.80083500893215,0.0,0.01,5e-09
5.602943874451161e-20,381.44214742554476,0.0,0.01,5e-09
2.1390678198136148e-20,547.3952398521305,0.0,0.01,5e-09
8.138480194444872e-21,785.5491340826719,0.0,0.01,5e-09
3.1162896846350217e-21,1127.3160545289566,0.0,0.01,5e-09
1.1830177501769355e-21,1617.7746644489202,0.0,0.01,5e-09
4.523488015165506e-22,2321.61588972171,0.0,0.01,5e-09
1.7151339021822946e-22,3331.6755774787453,0.0,0.01,5e-09
6.522562053830492e-23,4781.179437438663,0.0,0.01,5e-09
2.4549988794568667e-23,6861.31535960817,0.0,0.01,5e-09
9.269720014914083e-24,9846.450876818582,0.0,0.01,5e-09
3.465618936153849e-24,14130.321926368679,0.0,0.01,5e-09
1.2899393187862737e-24,20277.96616676245,0.0,0.01,5e-09
4.734077180499639e-25,29100.250794217685,0.0,0.01,5e-09
1.7335089330224593e-25,41760.82499212353,0.0,0.01,5e-09
6.238657390714011e-26,59929.60391837234,0.0,0.01,5e-09
2.2090388651858995e-26,86003.02859175787,0.0,0.01,5e-09
7.663463860129456e-27,123420.15370282115,0.0,0.01,5e-09
2.6225749145172382e-27,177116.25496741914,0.0,0.01,5e-09
8.735680834601075e-28,254173.78631061214,0.0,0.01,5e-09
2.8149121030575116e-28,364756.5473838464,0.0,0.01,5e-09
8.779419261851586e-29,523450.2770352337,0.0,0.01,5e-09
2.6712383104277545e-29,751186.4954679541,0.0,0.01,5e-09
7.877804827901877e-30,1078003.347652151,0.0,0.01,5e-09
2.2640345377526117e-30,1547007.6000571782,0.0,0.01,5e-09
6.4275792374603675e-31,2220060.3735109367,0.0,0.01,5e-09
