dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
5.411439927365029e-15,0.7759999999999999,0.0,0.01,5e-09
3.038368147756812e-15,1.100108702921523,0.0,0.01,5e-09
1.662181620456287e-15,1.5595865441284484,0.0,0.01,5e-09
8.600646779977021e-16,2.2109725904059383,0.0,0.01,5e-09
3.910111660254984e-16,3.1344203461681928,0.0,0.01,5e-09
1.535768097747869e-16,4.443560697724126,0.0,0.01,5e-09
5.709445481493684e-17,6.299484272585499,0.0,0.01,5e-09
2.1687660985317802e-17,8.930563752820321,0.0,0.01,5e-09
8.132932802759866e-18,12.660555291846817,0.0,0.01,5e-09
2.940332772279509e-18,17.948436933479158,0.0,0.01,5e-09
1.0308234869662759e-18,25.444886178297057,0.0,0.01,5e-09
3.5422532084175805e-19,36.07234630102085,0.0,0.01,5e-09
1.2447353093541233e-19,51.13853363473202,0.0,0.01,5e-09
4.612116565512417e-20,72.4973529719249,0.0,0.01,5e-09
1.772451748326267e-20,102.77702183400542,0.0,0.01,5e-09
7.107049231206167e-21,145.70347445869163,0.0,0.01,5e-09
2.8484087901584933e-21,206.55884059009097,0.0,0.01,5e-09
1.1681673425173673e-21,292.8314152043025,0.0,0.01,5e-09
4.743603940520472e-22,415.1370983957204,0.0,0.01,5e-09
1.898765137853104e-22,588.5256892406197,0.0,0.01,5e-09
7.621950565157169e-23,834.3327740032128,0.0,0.01,5e-09
3.075013303473703e-23,1182.8050848113287,0.0,0.01,5e-09
1.2488374317402033e-23,1676.8223810061515,0.0,0.01,5e-09
4.9994921711433046e-24,2377.173833245434,0.0,0.01,5e-09
1.974829966172193e-24,3370.038173080696,0.0,0.01,5e-09
7.774393120297494e-25,4777.588045597714,0.0,0.01,5e-09
3.094415563970256e-25,6773.023438061691,0.0,0.01,5e-09
1.2241074444000495e-25,9601.884058380307,0.0,0.01,5e-09
4.7198678217503857e-26,13612.263166324245,0.0,0.01,5e-09
1.8077959618367575e-26,19297.640690375494,0.0,0.01,5e-09
6.871451565707279e-27,27357.60627491569,0.0,0.01,5e-09
2.6230104025972724e-27,38783.94427079287,0.0,0.01,5e-09
9.864170189808451e-28,54982.673487013606,0.0,0.01,5e-09
3.5755816464379005e-28,77947.05877958263,0.0,0.01,5e-09
1.2836708334709535e-28,110502.88367339497,0.0,0.01,5e-09
4.554822848384477e-29,156656.1649832815,0.0,0.01,5e-09
1.5851294473327775e-29,222086.0959593013,0.0,0.01,5e-09
5.3341842792321684e-30,314843.874951923,0.0,0.01,5e-09
1.721813765829374e-30,446343.4109486418,0.0,0.01,5e-09
5.499873514609429e-31,632765.8129848948,0.0,0.01,5e-09
1.7146352046284283e-31,897050.4868246074,0.0,0.01,5e-09
5.262216483213206e-32,1271717.8447367798,0.0,0.01,5e-09
1.546268385281318e-32,1802870.964762285,0.0,0.01,5e-09
4.6257169649610216e-33,2555868.6064168955,0.0,0.01,5e-09
1.3906112594504705e-33,3623367.6513442476,0.0,0.01,5e-09
4.321565322816382e-34,5136724.596814592,0.0,0.01,5e-09
1.3560922793696906e-34,7282159.063745853,0.0,0.01,5e-09
4.2316444820271264e-35,10323668.250110406,0.0,0.01,5e-09
1.368635382584304e-35,14635511.969099307,0.0,0.01,5e-09
4.617895781417897e-36,20748265.57850291,0.0,0.01,5e-09
1.2875987213172612e-14,0.7759999999999999,0.2,0.01,5e-09
7.230754061842892e-15,1.100108702921523,0.2,0.01,5e-09
3.956234474776503e-15,1.5595865441284484,0.2,0.01,5e-09
2.046808550101885e-15,2.2109725904059383,0.2,0.01,5e-09
9.303248098127592e-16,3.1344203461681928,0.2,0.01,5e-09
3.654852091989597e-16,4.443560697724126,0.2,0.01,5e-09
1.3597528374385372e-16,6.299484272585499,0.2,0.01,5e-09
5.1728073129076556e-17,8.930563752820321,0.2,0.01,5e-09
1.9394193640613005e-17,12.660555291846817,0.2,0.01,5e-09
7.04688443275279e-18,17.948436933479158,0.2,0.01,5e-09
2.4801421704371725e-18,25.444886178297057,0.2,0.01,5e-09
8.567859886833182e-19,36.07234630102085,0.2,0.01,5e-09
3.028253085560208e-19,51.13853363473202,0.2,0.01,5e-09
1.1293557789184902e-19,72.4973529719249,0.2,0.01,5e-09
4.368123406664276e-20,102.77702183400542,0.2,0.01,5e-09
1.7567433076485085e-20,145.70347445869163,0.2,0.01,5e-09
7.048037088843611e-21,206.55884059009097,0.2,0.01,5e-09
2.895202478559354e-21,292.8314152043025,0.2,0.01,5e-09
1.1740194943832075e-21,415.1370983957204,0.2,0.01,5e-09
4.6894669604942805e-22,588.5256892406197,0.2,0.01,5e-09
1.8732274577744232e-22,834.3327740032128,0.2,0.01,5e-09
7.523902492604135e-23,1182.8050848113287,0.2,0.01,5e-09
3.041210110416368e-23,1676.8223810061515,0.2,0.01,5e-09
1.2111425581276973e-23,2377.173833245434,0.2,0.01,5e-09
4.765764820953112e-24,3370.038173080696,0.2,0.01,5e-09
1.8660121777787458e-24,4777.588045597714,0.2,0.01,5e-09
7.394625901904253e-25,6773.023438061691,0.2,0.01,5e-09
2.912242338374476e-25,9601.884058380307,0.2,0.01,5e-09
1.1213304767725475e-25,13612.263166324245,0.2,0.01,5e-09
4.27745990506243e-26,19297.640690375494,0.2,0.01,5e-09
1.619912371569113e-26,27357.60627491569,0.2,0.01,5e-09
6.1598376493225385e-27,38783.94427079287,0.2,0.01,5e-09
2.3083579602946337e-27,54982.673487013606,0.2,0.01,5e-09
8.338310305689419e-28,77947.05877958263,0.2,0.01,5e-09
2.9837949120167096e-28,110502.88367339497,0.2,0.01,5e-09
1.0556103670165071e-28,156656.1649832815,0.2,0.01,5e-09
3.663767342619915e-29,222086.0959593013,0.2,0.01,5e-09
1.2291232309310347e-29,314843.874951923,0.2,0.01,5e-09
3.96031442144569e-30,446343.4109486418,0.2,0.01,5e-09
1.2625681817047072e-30,632765.8129848948,0.2,0.01,5e-09
3.9243684803509846e-31,897050.4868246074,0.2,0.01,5e-09
1.2026925493570813e-31,1271717.8447367798,0.2,0.01,5e-09
3.5291438527487274e-32,1802870.964762285,0.2,0.01,5e-09
1.0545897891526735e-32,2555868.6064168955,0.2,0.01,5e-09
3.166309905836101e-33,3623367.6513442476,0.2,0.01,5e-09
9.827350023832398e-34,5136724.596814592,0.2,0.01,5e-09
3.0813421398577678e-34,7282159.063745853,0.2,0.01,5e-09
9.605332409418386e-35,10323668.250110406,0.2,0.01,5e-09
3.10357880427038e-35,14635511.969099307,0.2,0.01,5e-09
1.0460562663060177e-35,20748265.57850291,0.2,0.01,5e-09
1.6049738851349394e-14,0.7759999999999999,0.4,0.01,5e-09
9.01554555716887e-15,1.100108702921523,0.4,0.01,5e-09
4.934353728956495e-15,1.5595865441284484,0.4,0.01,5e-09
2.5532920170053027e-15,2.2109725904059383,0.4,0.01,5e-09
1.1607875759033147e-15,3.1344203461681928,0.4,0.01,5e-09
4.56346762138224e-16,4.443560697724126,0.4,0.01,5e-09
1.699945333781944e-16,6.299484272585499,0.4,0.01,5e-09
6.478161304806275e-17,8.930563752820321,0.4,0.01,5e-09
2.434655494961578e-17,12.660555291846817,0.4,0.01,5e-09
8.87226940200268e-18,17.948436933479158,0.4,0.01,5e-09
3.1349772603211743e-18,25.444886178297057,0.4,0.01,5e-09
1.0884825050791253e-18,36.07234630102085,0.4,0.01,5e-09
