Er;dsigma_de
3.45382e+0; 1.64271e-30
4.17671e+0; 8.21355e-30
4.73896e+0; 1.47844e-29
5.38153e+0; 1.64271e-29
6.26506e+0; 1.97125e-29
6.90763e+0; 2.62834e-29
7.46988e+0; 3.28542e-29
7.87149e+0; 4.10678e-29
8.51406e+0; 3.77823e-29
9.55823e+0; 4.92813e-29
9.79920e+0; 4.59959e-29
1.03614e+1; 5.09240e-29
1.06827e+1; 7.55647e-29
1.08434e+1; 8.87064e-29
1.10843e+1; 9.69199e-29
1.14859e+1; 8.87064e-29
1.19679e+1; 1.00205e-28
1.23695e+1; 1.13347e-28
1.27711e+1; 1.28131e-28
1.29317e+1; 1.44559e-28
1.31727e+1; 1.62628e-28
1.32932e+1; 1.80698e-28
1.34137e+1; 2.03696e-28
1.35743e+1; 2.25051e-28
1.37349e+1; 2.52977e-28
1.38956e+1; 2.82546e-28
1.40562e+1; 3.08830e-28
1.42972e+1; 3.36756e-28
1.45382e+1; 3.61396e-28
1.46988e+1; 3.77823e-28
1.48594e+1; 3.86037e-28
1.53414e+1; 3.77823e-28
1.55823e+1; 3.95893e-28
1.56627e+1; 4.15606e-28
1.59036e+1; 4.36961e-28
1.60643e+1; 4.61602e-28
1.61446e+1; 4.92813e-28
1.63052e+1; 5.19097e-28
1.64659e+1; 5.45380e-28
1.66265e+1; 5.70021e-28
1.68675e+1; 5.79877e-28
1.72691e+1; 5.70021e-28
1.76707e+1; 5.58522e-28
1.79920e+1; 5.78234e-28
1.83133e+1; 5.91376e-28
1.86345e+1; 5.76591e-28
1.87952e+1; 5.60164e-28
1.88755e+1; 5.40452e-28
1.90361e+1; 5.14168e-28
1.91968e+1; 4.87885e-28
1.92771e+1; 4.68172e-28
1.93574e+1; 4.48460e-28
1.95181e+1; 4.27105e-28
1.95984e+1; 4.02464e-28
1.97590e+1; 3.74538e-28
1.98394e+1; 3.48255e-28
2.00000e+1; 3.13758e-28
2.02410e+1; 2.79261e-28
2.05622e+1; 2.44764e-28
2.08032e+1; 2.16838e-28
2.13655e+1; 1.79055e-28
2.20884e+1; 1.49487e-28
2.28916e+1; 1.24846e-28
2.35341e+1; 1.01848e-28
2.38554e+1; 8.87064e-29
2.48193e+1; 6.89938e-29
2.59438e+1; 5.42094e-29
2.69076e+1; 4.27105e-29
2.81928e+1; 3.44969e-29
2.96386e+1; 2.95688e-29
3.10843e+1; 2.46407e-29
3.22088e+1; 2.46407e-29
3.36546e+1; 2.29979e-29
3.50201e+1; 2.13552e-29
3.67068e+1; 1.80698e-29
3.79116e+1; 1.64271e-29
3.93574e+1; 1.47844e-29
4.12851e+1; 1.47844e-29
4.26506e+1; 1.31417e-29
