MmCP;Flujo
1.62887e+1; 1.57059e-9
1.76288e+1; 1.49241e-9
1.91683e+1; 1.45516e-9
2.09394e+1; 1.41887e-9
2.29806e+1; 1.34836e-9
2.48713e+1; 1.28125e-9
2.71692e+1; 1.21754e-9
2.96791e+1; 1.12759e-9
3.21209e+1; 1.07147e-9
3.52521e+1; 1.01822e-9
3.83303e+1; 9.67563e-10
4.14833e+1; 8.73259e-10
4.53155e+1; 8.08744e-10
4.95019e+1; 7.48996e-10
5.38239e+1; 6.93644e-10
5.85230e+1; 6.26053e-10
6.36317e+1; 5.50686e-10
6.91875e+1; 5.09989e-10
7.55780e+1; 4.48606e-10
8.17943e+1; 3.94590e-10
8.89345e+1; 3.47087e-10
9.62479e+1; 2.89972e-10
1.04163e+2; 2.42255e-10
1.12728e+2; 1.97246e-10
1.21997e+2; 1.60599e-10
1.30802e+2; 1.21034e-10
1.39594e+2; 9.35936e-11
1.51067e+2; 6.87468e-11
1.61217e+2; 4.92088e-11
1.70455e+2; 3.43264e-11
1.78551e+2; 2.33351e-11
1.87906e+2; 1.62774e-11
1.95914e+2; 1.05097e-11
2.03315e+2; 6.61305e-12
2.09045e+2; 4.38082e-12
