Masa[MeV/c2],Flujo[s-1cm-2]
10.18939953,1.1071858842502603e-07
10.715335875476649,1.0644245431872029e-07
11.26841896681196,1.0194560314876259e-07
11.85005001123768,9.725564445746083e-08
12.461702540739171,9.321255370186305e-08
13.104926145172065,8.896077465504955e-08
13.78135039806748,8.466604886187998e-08
14.492688985071808,8.063666169870852e-08
15.240744045480099,7.639929356935064e-08
16.027410737862187,7.244659299919305e-08
16.854682041348358,6.843872439175348e-08
17.724653804738185,6.422398552053236e-08
18.639530056224498,6.019847558100912e-08
19.60162858718403,5.6121743913806194e-08
20.613386824181358,5.217392474807729e-08
21.677368004062178,4.8357040976071376e-08
22.796267667780516,4.449507688596389e-08
23.972920489411504,4.1056749462071313e-08
25.210307457650583,3.744094922885861e-08
26.511563427993256,3.3841095942949905e-08
27.87998506472841,3.046544014807099e-08
29.319039192865716,2.69155464045162e-08
30.83237158115636,2.4150338627337724e-08
32.42381617845848,2.1428114195653935e-08
34.097404826847175,1.897001155277461e-08
35.85737747607648,1.6633357688195872e-08
37.70819292527147,1.449064132859451e-08
39.65454011906391,1.2933359039497778e-08
41.70135002678942,1.1295696022018398e-08
43.85380813484166,1.0036640576221192e-08
46.117367583832326,8.814796001309924e-09
48.49776298383919,7.831915296782529e-09
51.001024942742184,7.223281640694279e-09
53.63349534445476,6.583232731933423e-09
56.40184341575677,6.130843494078244e-09
59.31308262243349,5.733586981293805e-09
62.37458843752613,5.315825664675196e-09
65.59411702670907,4.826311081424726e-09
68.9798248981321,4.336336962700449e-09
72.54028956650914,4.104029875107928e-09
76.28453128380565,3.859732018057698e-09
80.2220358915775,3.642366352934536e-09
84.36277885285713,3.4488466390937124e-09
88.71725052446955,3.2493747729569886e-09
93.29648273380617,3.0537591172983026e-09
98.11207672738503,2.8480465582104935e-09
103.17623256200521,2.665517487009867e-09
108.50178001295586,2.5022787583614057e-09
114.10221107758466,2.330614294699523e-09
119.99171415657014,2.1598557800008295e-09
126.18520999949797,1.9903783147865563e-09
132.6983895058019,1.8121530957490102e-09
139.54775347684227,1.6937281529933145e-09
146.75065441982724,1.5848316408962031e-09
154.32534050948632,1.4742627426749553e-09
162.29100181887242,1.3829453555500095e-09
170.6678189364129,1.2869145274885696e-09
179.47701409237973,1.218781184720391e-09
188.74090492430653,1.1744017962777025e-09
198.48296101756156,1.1277317200174126e-09
208.7278633643203,1.1043699271026257e-09
219.50156689157606,1.0836436368987955e-09
230.83136621659625,1.0625738252682294e-09
242.7459647964141,1.0435358932098659e-09
255.2755476465461,1.0235152986910956e-09
268.45185781315473,1.0062385096808812e-09
282.3082767924057,9.9175222536047e-10
296.8799091007533,9.55048440875574e-10
312.2036712104022,9.093705940943504e-10
328.3183850752722,8.41951382976421e-10
345.26487648439706,7.559504056107259e-10
363.0860784919356,6.103117557189497e-10
381.82714018583255,1.375513347338375e-10
401.53554107068226,1.9222005098326875e-11
422.26121135458186,1.784849176951101e-11
444.05665844471764,1.606730952127952e-11
466.97709997214787,1.3442443225810508e-11
491.08060368279615,8.677874283469506e-12
516.428234549067,1.5871072485581342e-12
543.0842094747746,1.7345137996157479e-13
571.1160599853248,1.7349772119408929e-13
600.5948033153262,1.7354645437702262e-13
631.5951223270517,1.7359770297335789e-13
664.1955547155895,1.7118444324789243e-13
698.4786919800047,1.6839263485919672e-13
734.5313886646021,1.6545672440669462e-13
772.4449824003996,1.6506868962133123e-13
812.3155253042604,1.6511515811564656e-13
854.2440273219316,1.6466278097683884e-13
898.3367121314895,1.6182215280467804e-13
944.7052862554987,1.588349026853332e-13
993.4672220636712,1.559177507476342e-13
1044.7460553830083,1.5318650439786133e-13
1098.6716984693865,1.5031428195626214e-13
1155.3807691334941,1.45358810317564e-13
1215.016936854957,1.3899959522071413e-13
1277.7312867614755,1.2766263490624038e-13
1343.6827023951391,1.147100768136323e-13
1413.0382682356217,8.90499299558605e-14
1485.9736929999997,6.727974062242803e-14
