MmCP;Flujo_Total
10.18939953; 1.762141064e-8
11.82439760; 1.550570371e-8
13.59468181; 1.364330852e-8
15.41340017; 1.200366962e-8
17.96977495; 1.003256275e-8
20.09130756; 8.601817151e-9
22.56787895; 7.187828341e-9
26.06662690; 5.560663022e-9
29.55254447; 4.192066383e-9
33.04057027; 3.242484930e-9
37.11196420; 2.382181367e-9
42.07467375; 1.750226561e-9
47.47963465; 1.285885865e-9
54.33307403; 1.020682902e-9
63.04999097; 8.313717606e-10
68.55294768; 6.945822702e-10
78.08588169; 5.955897233e-10
87.71250506; 5.239851018e-10
100.3748427; 4.378966368e-10
117.0215468; 3.566870433e-10
117.0215468; 3.566870433e-10
133.9130011; 2.831233909e-10
153.2449268; 2.366074536e-10
174.5537823; 1.977287392e-10
199.7571385; 1.785125886e-10
228.6029377; 1.696805845e-10
228.6029377; 1.696805845e-10
261.6141956; 1.612855485e-10
285.7866772; 1.572634994e-10
318.0488223; 1.419577854e-10
344.2055895; 1.216910033e-10
369.0475034; 8.938041727e-11
375.9115250; 4.818551645e-11
381.1148718; 2.343423909e-11
386.3959855; 1.199912143e-11
393.5797519; 6.304366636e-12
400.8881400; 3.066105510e-12
435.8838391; 2.696992716e-12
465.1872725; 2.195739888e-12
501.0265587; 1.068223347e-12
507.9692902; 5.469664114e-13
515.0044003; 2.729462443e-13
524.5714224; 1.362087110e-13
531.8325114; 6.624288241e-14
536.7156952; 3.759715864e-14
541.6839655; 2.760527609e-14
634.5019479; 2.762969735e-14
739.7641476; 2.626543585e-14
846.6018881; 2.628525346e-14
973.3721963; 2.498542655e-14
1119.125112; 2.374987713e-14
1222.511237; 2.199528500e-14
1341.634987; 1.837725360e-14
1418.539194; 1.384881954e-14
1485.973693; 1.070790329e-14
