MmCP;Flujo_Total
10.23045188612373; 1.9801859280056066e-9
10.969779456942142; 1.9809573526387075e-9
11.707860743450157; 1.9313843697289906e-9
12.849364638340576; 1.9323876520892757e-9
14.10195469602935; 1.8365011741136102e-9
15.4049393681869; 1.7907756573110753e-9
17.54766347392813; 1.7022696470594164e-9
19.80347534952237; 1.660187985796412e-9
22.663183804628922; 1.5781770258946565e-9
26.546144638775935; 1.5004120813151828e-9
31.82630643836204; 1.4638145700241578e-9
36.93400169695888; 1.3916125829349725e-9
42.662498330180284; 1.3229375736120826e-9
49.97163941969212; 1.2258290087089818e-9
59.08142851555171; 1.2269754375182904e-9
69.52774948024638; 1.228091048985396e-9
81.06342444754569; 1.2291438402763072e-9
94.0737145971038; 1.1989450604645606e-9
110.19250354904793; 1.1695489694864198e-9
128.47505856164685; 1.1705515750915879e-9
151.89370311196888; 1.1129302408352279e-9
177.9208110018797; 1.1139132335009376e-9
209.37783851760676; 1.086630193608262e-9
253.3666576315703; 1.0070505037242011e-9
281.97104743374257; 9.328627389967871e-10
319.70072119548803; 8.867345752094871e-10
341.19600361909835; 7.409714510980901e-10
357.39195328850496; 4.5477092616386996e-10
369.1770156472477; 3.014692042920827e-10
379.5470933709755; 1.4679471915929998e-10
383.0463303906235; 9.482874812783537e-11
390.18530476488064; 5.8192038588774605e-11
399.2749396396526; 2.6231727700467478e-11
420.1559694552107; 1.3448670187328106e-11
429.99483043937573; 9.146845508561605e-12
465.2926299968235; 4.812333826128433e-12
482.86238528747117; 2.8784594554149464e-12
498.7626548263715; 1.6354023792243375e-12
542.2701973186997; 1.1713638376808401e-12
586.7932641757377; 6.487909740447583e-13
611.7175982859886; 2.572123218810527e-13
631.8375278777696; 1.285093766407768e-13
655.7009924994568; 7.886848157844285e-14
680.44554782429; 4.367319583205066e-14
709.3478090007682; 1.7314180611816994e-14
729.2785983624016; 8.650350674563718e-15
739.4447917675881; 5.883058407962564e-15
774.5161512467736; 3.175213375777732e-15
807.4620307029695; 1.5462304597408128e-15
822.5293022679883; 1.0249216230682986e-15
