Ex;flujo_total
7.18504e-1; 1.02957e-15
7.69941e-1; 2.07257e-15
8.35500e-1; 3.89090e-15
9.21000e-1; 8.01915e-15
1.00572e+0; 1.45382e-14
1.12267e+0; 2.72994e-14
1.26508e+0; 4.45765e-14
1.46646e+0; 8.47116e-14
1.71062e+0; 1.23146e-13
1.90354e+0; 1.59267e-13
2.46313e+0; 2.21173e-13
3.08861e+0; 2.43234e-13
3.70621e+0; 2.40778e-13
4.58929e+0; 2.19736e-13
5.50697e+0; 1.95863e-13
6.64981e+0; 1.57212e-13
7.97950e+0; 1.27660e-13
9.72674e+0; 9.22743e-14
1.17084e+1; 6.98717e-14
1.39616e+1; 5.10867e-14
1.65441e+1; 3.60671e-14
1.99774e+1; 2.51723e-14
2.36726e+1; 1.73623e-14
2.80513e+1; 1.19754e-14
3.32400e+1; 8.06961e-15
3.93883e+1; 5.50143e-15
4.66739e+1; 3.66420e-15
5.54813e+1; 2.46918e-15
6.57436e+1; 1.70308e-15
7.81493e+1; 1.13436e-15
