Ex;flujo_dif
6.24206e-1; 2.73679e-10
7.70088e-1; 2.63936e-10
9.30796e-1; 2.14514e-10
1.13082e+0; 1.67856e-10
1.35287e+0; 1.24057e-10
1.65204e+0; 9.17017e-11
1.97644e+0; 6.77736e-11
2.34045e+0; 4.73113e-11
2.78573e+0; 3.24071e-11
3.26516e+0; 2.24071e-11
3.86651e+0; 1.43607e-11
4.59036e+0; 9.29180e-12
5.36661e+0; 6.18500e-12
6.35499e+0; 4.00179e-12
7.44869e+0; 2.63864e-12
8.82054e+0; 1.70724e-12
1.03917e+1; 1.08379e-12
1.22426e+1; 7.21458e-13
1.42763e+1; 4.71189e-13
1.69056e+1; 2.99131e-13
1.99169e+1; 1.91706e-13
2.33446e+1; 1.22854e-13
2.72225e+1; 7.87273e-14
3.19075e+1; 4.99753e-14
3.75910e+1; 3.23335e-14
4.38353e+1; 2.05241e-14
5.19086e+1; 1.29065e-14
6.11546e+1; 8.35035e-15
7.16795e+1; 5.40235e-15
8.44472e+1; 3.49526e-15
9.94891e+1; 2.28296e-15
1.16611e+2; 1.50531e-15
1.31866e+2; 1.11200e-15
