Flujo_MD_tot,,Flujo_MD_1,,Flujo_MD_omega,
X,Y,X,Y,X,Y
10.189399533942272,1.7621410643396318e-8,16.288682997469,1.570585442945691e-9,75.19039814470001,8.20036307386859e-11
11.824397602727007,1.550570371263698e-8,17.62881039510582,1.4924140564412146e-9,81.7572131946036,8.204202905198574e-11
13.59468181372898,1.3643308520007354e-8,19.168294563263675,1.4551592206124518e-9,89.31203393978272,8.208258011123132e-11
15.413400173958424,1.2003669622468335e-8,20.93939588313735,1.418871271204514e-9,96.66148649839776,8.211887962719424e-11
17.969774949501883,1.0032562748000236e-8,22.980623049385166,1.348356222076562e-9,106.58050666881834,8.216374236936091e-11
20.091307555568722,8.601817151252719e-9,24.871319956435947,1.2812456577611461e-9,115.88880257479606,8.220221565515286e-11
22.567878950370325,7.187828340819542e-9,27.169164324905434,1.2175386588778444e-9,126.010046133035,8.224070695611364e-11
26.066626895343408,5.5606630218986e-9,29.679084434020552,1.1275894040097794e-9,137.65407451204626,8.228135621623935e-11
29.55254446559395,4.192066382552131e-9,32.12088738352773,1.071466874977628e-9,149.67620593428774,8.231988457487745e-11
33.04057027193818,3.2424849304953687e-9,35.25211563372017,1.0182171257851726e-9,162.74830005793123,8.235843097447268e-11
37.11196419799591,2.382181366591142e-9,38.33031839033113,9.675634522021986e-10,177.7884683282049,8.454828396124726e-11
42.074673751397874,1.7502265611218755e-9,41.483272354660016,8.732587883779775e-10,194.2156674134006,8.2439865990585e-11
47.4796346469529,1.2858858647392277e-9,45.31554699622551,8.087442230712926e-10,212.16227415158656,8.248061368939967e-11
54.3330740337095,1.0206829015203136e-9,49.50185178282931,7.48995861314006e-10,230.69164025813663,8.251923535062465e-11
63.0499909682549,8.313717606295451e-10,53.82393669959148,6.93643545348768e-10,252.00695692319118,8.046141666304121e-11
68.55294768082483,6.945822701664703e-10,58.52295480621003,6.260530764812543e-10,274.0121187564875,7.645866888708871e-11
78.0858816947234,5.955897232631355e-10,63.63174080647936,5.506857419274549e-10,299.32791241278903,7.26569371084073e-11
87.71250506296609,5.239851018181752e-10,69.18752866616505,5.099889467125332e-10,325.46270553287115,6.728744183130971e-11
100.37484267139189,4.3789663679066064e-10,75.57803263660206,4.486056474885097e-10,352.2239659374567,5.4785927739298334e-11
117.02154683695957,3.566870433297594e-10,81.79428051603944,3.9459004065128453e-10,,
117.02154683695957,3.566870433297594e-10,88.93454670024282,3.4708735961262167e-10,,
133.91300112373077,2.831233908884685e-10,96.24792944182099,2.899719087005607e-10,,
153.24492681857808,2.366074536024672e-10,104.16271590230599,2.422551715201913e-10,,
174.55378232208076,1.97728739198345e-10,112.72752384288553,1.972459341618298e-10,,
199.75713852975102,1.7851258859156326e-10,121.99657547011985,1.6059908359946142e-10,,
228.6029376738409,1.696805845276295e-10,130.80225171441367,1.2103447635881169e-10,,
228.6029376738409,1.696805845276295e-10,139.59370127045,9.359355854055484e-11,,
261.61419560646516,1.6128554850276044e-10,151.0673414350833,6.874679504190086e-11,,
285.7866771805071,1.5726349940916553e-10,161.21724936868532,4.9208818825825904e-11,,
318.0488222786124,1.4195778535302295e-10,170.45462522597785,3.4326435510229374e-11,,
344.2055895180794,1.216910032960436e-10,178.55106109947576,2.3335104975528245e-11,,
369.04750344421325,8.938041727388641e-11,187.90550914953113,1.627736984661233e-11,,
375.9115250180514,4.818551644898184e-11,195.91446338221792,1.0509685831188652e-11,,
381.1148718373278,2.343423909170995e-11,203.31529559259664,6.6130501214918746e-12,,
386.3959855362746,1.1999121430602764e-11,209.0449349437979,4.380821501971007e-12,,
393.5797519292389,6.304366635649371e-12,,,,
400.8881400185244,3.0661055095390848e-12,,,,
435.88383912808615,2.696992716397817e-12,,,,
465.18727252884565,2.1957398876471667e-12,,,,
501.02655872917217,1.0682233474045033e-12,,,,
507.96929022134606,5.469664114268586e-13,,,,
515.0044003131944,2.729462442582745e-13,,,,
524.5714224317293,1.3620871099439572e-13,,,,
531.8325114400069,6.624288240629071e-14,,,,
536.7156952218448,3.7597158644563907e-14,,,,
541.683965533243,2.7605276091959015e-14,,,,
634.5019478692379,2.7629697345036743e-14,,,,
739.7641476422111,2.6265435850314943e-14,,,,
846.6018881044514,2.628525346136105e-14,,,,
973.3721963302013,2.4985426552479495e-14,,,,
1119.1251116980568,2.3749877128901008e-14,,,,
1222.5112368241707,2.1995284997163958e-14,,,,
1341.6349866591233,1.8377253598182583e-14,,,,
1418.5391936060537,1.3848819536143204e-14,,,,
1485.973692552453,1.0707903288932065e-14,,,,
