E[GeV];flux[GeV-1s-1cm-2sr-1]
2.87268e+0; 9.56872e-11
2.41350e+0; 1.27040e-10
1.98659e+0; 1.67044e-10
1.66052e+0; 2.13504e-10
1.36680e+0; 2.65188e-10
1.11929e+0; 3.11130e-10
9.16601e-1; 3.54779e-10
7.54470e-1; 3.78553e-10
6.14687e-1; 4.00069e-10
3.45443e+0; 6.80865e-11
4.15399e+0; 4.79893e-11
4.96969e+0; 3.38227e-11
5.88497e+0; 2.36109e-11
7.00461e+0; 1.61729e-11
8.33726e+0; 1.08697e-11
9.87275e+0; 7.51618e-12
1.16313e+1; 5.05113e-12
1.38442e+1; 3.29948e-12
1.64781e+1; 2.19659e-12
1.94132e+1; 1.46224e-12
2.28712e+1; 9.64187e-13
2.70834e+1; 6.29796e-13
3.15823e+1; 4.27246e-13
3.77840e+1; 2.71258e-13
4.45142e+1; 1.73842e-13
5.21752e+1; 1.13542e-13
6.08422e+1; 7.70255e-14
7.16795e+1; 5.03101e-14
8.48809e+1; 3.19391e-14
1.00514e+2; 2.06651e-14
1.17812e+2; 1.38870e-14
1.40226e+2; 8.90060e-15
1.64360e+2; 5.86874e-15
1.91662e+2; 3.98128e-15
