eps2,cos_theta,m(GeV),Energy,flux_differential
5e-09,1.0,0.01,0.1,1.1677174034976462e-13
5e-09,1.0,0.01,0.1123449344020514,1.0775997620291936e-13
5e-09,1.0,0.01,0.1262138428580125,9.941814579432965e-14
5e-09,1.0,0.01,0.1417948589651424,9.16110152769e-14
5e-09,1.0,0.01,0.1592993412898707,8.420884346227845e-14
5e-09,1.0,0.01,0.1789647404750054,7.730547056246715e-14
5e-09,1.0,0.01,0.2010578202894464,7.087788717254623e-14
5e-09,1.0,0.01,0.2258782763143731,6.497413991084929e-14
5e-09,1.0,0.01,0.2537628013538671,5.962274970106195e-14
5e-09,1.0,0.01,0.2850896527178103,5.4773333208108205e-14
5e-09,1.0,0.01,0.3202837833328603,5.046815242748534e-14
5e-09,1.0,0.01,0.3598226062857105,4.670589876066766e-14
5e-09,1.0,0.01,0.4042424709954335,4.3491600262161124e-14
5e-09,1.0,0.01,0.4541459388650518,4.0774210892810166e-14
5e-09,1.0,0.01,0.5102099571075231,3.85035632585566e-14
5e-09,1.0,0.01,0.573195041625182,3.6590890162640396e-14
5e-09,1.0,0.01,0.6439555935096224,3.489382071056371e-14
5e-09,1.0,0.01,0.7234514891067266,3.321164677894873e-14
5e-09,1.0,0.01,0.8127611008676167,3.138480502887451e-14
5e-09,1.0,0.01,0.9130959256151152,2.9314074590930847e-14
5e-09,1.0,0.01,1.0258170186601063,2.695337130498035e-14
5e-09,1.0,0.01,1.1524534566987763,2.431423374440499e-14
5e-09,1.0,0.01,1.294723079942415,2.147954172759651e-14
5e-09,1.0,0.01,1.4545557948495271,1.8576509778522292e-14
5e-09,1.0,0.01,1.6341197535649394,1.5805549730303042e-14
5e-09,1.0,0.01,1.835850765193496,1.3343588220738081e-14
5e-09,1.0,0.01,2.062485337876194,1.1208021655300203e-14
5e-09,1.0,0.01,2.3170977998889395,9.22672157813578e-15
5e-09,1.0,0.01,2.6031420033166066,7.42819238065479e-15
5e-09,1.0,0.01,2.9244981760182918,5.912177368961594e-15
5e-09,1.0,0.01,3.285525557436941,4.73377603443642e-15
5e-09,1.0,0.01,3.6911215322651687,3.782833252182541e-15
5e-09,1.0,0.01,4.1467880641233,2.9584159189810457e-15
