# mchi_GeV, Phi_PB_cm-2_s-1_sr-1 (eps=0.01)
1.000000000000000021e-02,2.009487082771026179e-09
1.047615752789664637e-02,1.998811456719665910e-09
1.097498765493056146e-02,1.988728513331918040e-09
1.149756995397735633e-02,1.978326612906360838e-09
1.204503540258782326e-02,1.969877080775636553e-09
1.261856883066020396e-02,1.959260547887234185e-09
1.321941148466028622e-02,1.947275958821016697e-09
1.384886371393873224e-02,1.934661987592744348e-09
1.450828778495939428e-02,1.924963220399992917e-09
1.519911082952933937e-02,1.910854876726367893e-09
1.592282793341092198e-02,1.901298387095665993e-09
1.668100537200059227e-02,1.890003672889518792e-09
1.747528400007683849e-02,1.875559631223992274e-09
1.830738280295367976e-02,1.861443874759778199e-09
1.917910261672488639e-02,1.850201940636977916e-09
2.009233002565046985e-02,1.835442975204005217e-09
2.104904144512020903e-02,1.823871229965758992e-09
2.205130739903045714e-02,1.812365426870108548e-09
2.310129700083160542e-02,1.796252959507411493e-09
2.420128264794382117e-02,1.782730364533400421e-09
2.535364493970111363e-02,1.768021977271398950e-09
2.656087782946686682e-02,1.756957819860408007e-09
2.782559402207124277e-02,1.741644249016227589e-09
2.915053062825177094e-02,1.727127558995166943e-09
3.053855508833415444e-02,1.714761788883788309e-09
3.199267137797384697e-02,1.700700453417099312e-09
3.351602650938842465e-02,1.684924370312100245e-09
3.511191734215130672e-02,1.672427594684400324e-09
3.678379771828634015e-02,1.659462559142364670e-09
3.853528593710529165e-02,1.646497506733636769e-09
4.037017258596553582e-02,1.633208391928416349e-09
4.229242874389498724e-02,1.618419314388942067e-09
4.430621457583881762e-02,1.603602348877055220e-09
4.641588833612779463e-02,1.591367703514347708e-09
4.862601580065353118e-02,1.581335538067271846e-09
5.094138014816380206e-02,1.569283223074020969e-09
5.336699231206309957e-02,1.557676970468293712e-09
5.590810182512222920e-02,1.545100203483372984e-09
5.857020818056667133e-02,1.538537262500776412e-09
6.135907273413175600e-02,1.524293450662998475e-09
6.428073117284321958e-02,1.516589710017256831e-09
6.734150657750821722e-02,1.505570473559802814e-09
7.054802310718645553e-02,1.495777227660678473e-09
7.390722033525778945e-02,1.490608860048173524e-09
7.742636826811269413e-02,1.478314723704177205e-09
8.111308307896872294e-02,1.473204640771403855e-09
8.497534359086446332e-02,1.461657844419996787e-09
8.902150854450388562e-02,1.452281014926443116e-09
9.326033468832199691e-02,1.445873348395679195e-09
9.770099572992256565e-02,1.435833417482027399e-09
1.023531021899026366e-01,1.429504197821190106e-09
1.072267222010323678e-01,1.416912764080435548e-09
1.123324032978027659e-01,1.407733896922568685e-09
1.176811952434998476e-01,1.402833644604073730e-09
1.232846739442066547e-01,1.391444563078790798e-09
1.291549665014883885e-01,1.384654269839528375e-09
1.353047774579807516e-01,1.379105719212892326e-09
1.417474162926805614e-01,1.374672905326612043e-09
1.484968262254464932e-01,1.365745635311778081e-09
1.555676143930472266e-01,1.359832816355017254e-09
1.629750834620644351e-01,1.354238645310172393e-09
1.707352647470691265e-01,1.344181272810505649e-09
1.788649529057435017e-01,1.336087967668497495e-09
1.873817422860384885e-01,1.321892615681707293e-09
1.963040650040271395e-01,1.310646227953923441e-09
2.056512308348651397e-01,1.297006835969375354e-09
2.154434690031884481e-01,1.278342571969371274e-09
2.257019719633920340e-01,1.262691661529894802e-09
2.364489412645408295e-01,1.244844852596500824e-09
2.477076355991711387e-01,1.222676333253902243e-09
2.595024211399737379e-01,1.196654294795301959e-09
2.718588242732941640e-01,1.160975117152946315e-09
2.848035868435802032e-01,1.117414488457561808e-09
2.983647240283340274e-01,1.065941367310913836e-09
3.125715849688237014e-01,1.000794646074206033e-09
3.274549162877730124e-01,9.183360413668870048e-10
3.430469286314918875e-01,8.091493875797565001e-10
3.593813663804627523e-01,6.506994684657075082e-10
3.764935806792469308e-01,3.871646077029921235e-10
3.944206059437656009e-01,2.989952432674750051e-11
4.132012400115338546e-01,1.478791960396009733e-11
4.328761281083059465e-01,9.021309362315009713e-12
4.534878508128584174e-01,5.982477786167038939e-12
4.750810162102798162e-01,4.134137673545393465e-12
4.977023564332111460e-01,2.894630768651807841e-12
5.214008287999687408e-01,2.002819921065072038e-12
5.462277217684342601e-01,1.331522839470961764e-12
5.722367659350220404e-01,8.202669268423747129e-13
5.994842503189411476e-01,4.476010017881090730e-13
6.280291441834255917e-01,2.092315916992588581e-13
6.579332246575682053e-01,8.580842885455554523e-14
6.892612104349699065e-01,3.331624485264993160e-14
7.220809018385467848e-01,1.304347026997033929e-14
7.564633275546290836e-01,5.314250095268486349e-15
7.924828983539177196e-01,2.276905648919753350e-15
8.302175681319747813e-01,1.021823117417113139e-15
8.697490026177834288e-01,4.756566502990124348e-16
9.111627561154895805e-01,2.276234597598239089e-16
9.545484566618341882e-01,1.112651377791439971e-16
1.000000000000000000e+00,5.531185787841545831e-17
