eps2,cos_theta,m(GeV),Energy,flux_differential
0.01,1.0,0.01,0.1,2.3354348069952924e-07
0.01,1.0,0.01,0.1123449344020514,2.1551995240583874e-07
0.01,1.0,0.01,0.1262138428580125,1.9883629158865928e-07
0.01,1.0,0.01,0.1417948589651424,1.8322203055380001e-07
0.01,1.0,0.01,0.1592993412898707,1.6841768692455692e-07
0.01,1.0,0.01,0.1789647404750054,1.546109411249343e-07
0.01,1.0,0.01,0.2010578202894464,1.4175577434509244e-07
0.01,1.0,0.01,0.2258782763143731,1.299482798216986e-07
0.01,1.0,0.01,0.2537628013538671,1.192454994021239e-07
0.01,1.0,0.01,0.2850896527178103,1.0954666641621641e-07
0.01,1.0,0.01,0.3202837833328603,1.0093630485497068e-07
0.01,1.0,0.01,0.3598226062857105,9.341179752133531e-08
0.01,1.0,0.01,0.4042424709954335,8.698320052432225e-08
0.01,1.0,0.01,0.4541459388650518,8.154842178562033e-08
0.01,1.0,0.01,0.5102099571075231,7.70071265171132e-08
0.01,1.0,0.01,0.573195041625182,7.318178032528079e-08
0.01,1.0,0.01,0.6439555935096224,6.978764142112743e-08
0.01,1.0,0.01,0.7234514891067266,6.642329355789746e-08
0.01,1.0,0.01,0.8127611008676167,6.276961005774903e-08
0.01,1.0,0.01,0.9130959256151152,5.8628149181861685e-08
0.01,1.0,0.01,1.0258170186601063,5.3906742609960705e-08
0.01,1.0,0.01,1.1524534566987763,4.8628467488809986e-08
0.01,1.0,0.01,1.294723079942415,4.295908345519302e-08
0.01,1.0,0.01,1.4545557948495271,3.715301955704458e-08
0.01,1.0,0.01,1.6341197535649394,3.161109946060608e-08
0.01,1.0,0.01,1.835850765193496,2.6687176441476162e-08
0.01,1.0,0.01,2.062485337876194,2.2416043310600408e-08
0.01,1.0,0.01,2.3170977998889395,1.845344315627156e-08
0.01,1.0,0.01,2.6031420033166066,1.4856384761309578e-08
0.01,1.0,0.01,2.9244981760182918,1.1824354737923188e-08
0.01,1.0,0.01,3.285525557436941,9.46755206887284e-09
0.01,1.0,0.01,3.6911215322651687,7.565666504365083e-09
0.01,1.0,0.01,4.1467880641233,5.916831837962091e-09
0.01,1.0,0.01,4.658706330431421,4.578272005177675e-09
0.01,1.0,0.01,5.233820570907402,3.5958224679139544e-09
0.01,1.0,0.01,5.879932287106996,2.8148041419544856e-09
0.01,1.0,0.01,6.605806070835402,2.1553444814553377e-09
0.01,1.0,0.01,7.421288497006765,1.656277822242718e-09
0.01,1.0,0.01,8.337441693749241,1.2979538896635065e-09
0.01,1.0,0.01,9.366693401651878,9.953951272651468e-10
0.01,1.0,0.01,10.523005557727087,7.5586449287339e-10
0.01,1.0,0.01,11.822063690952728,5.920024941060631e-10
0.01,1.0,0.01,13.281489698569583,4.5660570505046286e-10
0.01,1.0,0.01,14.921080889473224,3.46102354587755e-10
0.01,1.0,0.01,16.763078537355728,2.72334672991068e-10
0.01,1.0,0.01,18.83246958655666,2.1230784130392544e-10
0.01,1.0,0.01,21.157325603303395,1.6218679201706912e-10
0.01,1.0,0.01,23.769183570259635,1.2936984074559677e-10
0.01,1.0,0.01,26.70347368991138,1.0255067133924629e-10
0.01,1.0,0.01,30.0,8.018402136559764e-11
0.01,1.0,0.0106909069625186,0.1,2.3097805798186348e-07
0.01,1.0,0.0106909069625186,0.1123449344020514,2.135063778802851e-07
0.01,1.0,0.0106909069625186,0.1262138428580125,1.9726751749046322e-07
0.01,1.0,0.0106909069625186,0.1417948589651424,1.8199480564436707e-07
0.01,1.0,0.0106909069625186,0.1592993412898707,1.6747537129934923e-07
0.01,1.0,0.0106909069625186,0.1789647404750054,1.5387883822950794e-07
0.01,1.0,0.0106909069625186,0.2010578202894464,1.4119334867871517e-07
0.01,1.0,0.0106909069625186,0.2258782763143731,1.2951635388245665e-07
0.01,1.0,0.0106909069625186,0.2537628013538671,1.1892379670970473e-07
0.01,1.0,0.0106909069625186,0.2850896527178103,1.0932266118116183e-07
0.01,1.0,0.0106909069625186,0.3202837833328603,1.0079364217344763e-07
0.01,1.0,0.0106909069625186,0.3598226062857105,9.332924478578071e-08
0.01,1.0,0.0106909069625186,0.4042424709954335,8.69457963280715e-08
0.01,1.0,0.0106909069625186,0.4541459388650518,8.154169010405905e-08
0.01,1.0,0.0106909069625186,0.5102099571075231,7.70228391989759e-08
0.01,1.0,0.0106909069625186,0.573195041625182,7.321147205258202e-08
0.01,1.0,0.0106909069625186,0.6439555935096224,6.982826937981862e-08
0.01,1.0,0.0106909069625186,0.7234514891067266,6.647442971064324e-08
0.01,1.0,0.0106909069625186,0.8127611008676167,6.283185236659462e-08
0.01,1.0,0.0106909069625186,0.9130959256151152,5.870096412514262e-08
0.01,1.0,0.0106909069625186,1.0258170186601063,5.398912326817504e-08
0.01,1.0,0.0106909069625186,1.1524534566987763,4.871860053020287e-08
0.01,1.0,0.0106909069625186,1.294723079942415,4.30513701292974e-08
0.01,1.0,0.0106909069625186,1.4545557948495271,3.7238589567860686e-08
0.01,1.0,0.0106909069625186,1.6341197535649394,3.167836459761069e-08
0.01,1.0,0.0106909069625186,1.835850765193496,2.672870325569133e-08
0.01,1.0,0.0106909069625186,2.062485337876194,2.244597137244636e-08
0.01,1.0,0.0106909069625186,2.3170977998889395,1.8484093198695568e-08
0.01,1.0,0.0106909069625186,2.6031420033166066,1.4882684652157095e-08
0.01,1.0,0.0106909069625186,2.9244981760182918,1.1841415801837845e-08
0.01,1.0,0.0106909069625186,3.285525557436941,9.475780178371336e-09
0.01,1.0,0.0106909069625186,3.6911215322651687,7.574607840443154e-09
0.01,1.0,0.0106909069625186,4.1467880641233,5.926602047036705e-09
0.01,1.0,0.0106909069625186,4.658706330431421,4.584913766962489e-09
0.01,1.0,0.0106909069625186,5.233820570907402,3.5991341619886184e-09
0.01,1.0,0.0106909069625186,5.879932287106996,2.81832380174556e-09
0.01,1.0,0.0106909069625186,6.605806070835402,2.158502034644869e-09
0.01,1.0,0.0106909069625186,7.421288497006765,1.6571106461455117e-09
0.01,1.0,0.0106909069625186,8.337441693749241,1.2985746479686039e-09
0.01,1.0,0.0106909069625186,9.366693401651878,9.959831980965008e-10
0.01,1.0,0.0106909069625186,10.523005557727087,7.5592389732256e-10
0.01,1.0,0.0106909069625186,11.822063690952728,5.917944704485399e-10
0.01,1.0,0.0106909069625186,13.281489698569583,4.567289627095293e-10
0.01,1.0,0.0106909069625186,14.921080889473224,3.461658420388563e-10
0.01,1.0,0.0106909069625186,16.763078537355728,2.722318282904959e-10
0.01,1.0,0.0106909069625186,18.83246958655666,2.123535031771361e-10
0.01,1.0,0.0106909069625186,21.157325603303395,1.6220150222626928e-10
0.01,1.0,0.0106909069625186,23.769183570259635,1.29317304664699e-10
0.01,1.0,0.0106909069625186,26.70347368991138,1.0256942155651028e-10
0.01,1.0,0.0106909069625186,30.0,8.01978938553713e-11
0.01,1.0,0.0114295491681229,0.1,2.2812898216917676e-07
0.01,1.0,0.0114295491681229,0.1123449344020514,2.112916610274545e-07
0.01,1.0,0.0114295491681229,0.1262138428580125,1.9558553124079676e-07
0.01,1.0,0.0114295491681229,0.1417948589651424,1.8075051865861322e-07
0.01,1.0,0.0114295491681229,0.1592993412898707,1.665924222620856e-07
0.01,1.0,0.0114295491681229,0.1789647404750054,1.5326113053856132e-07
0.01,1.0,0.0114295491681229,0.2010578202894464,1.4078601513897484e-07
0.01,1.0,0.0114295491681229,0.2258782763143731,1.2926357360210537e-07
0.01,1.0,0.0114295491681229,0.2537628013538671,1.1879839428827879e-07
0.01,1.0,0.0114295491681229,0.2850896527178103,1.0930367778626551e-07
0.01,1.0,0.0114295491681229,0.3202837833328603,1.0086261152124e-07
0.01,1.0,0.0114295491681229,0.3598226062857105,9.346506831518128e-08
0.01,1.0,0.0114295491681229,0.4042424709954335,8.713182396169411e-08
0.01,1.0,0.0114295491681229,0.4541459388650518,8.176185902684989e-08
0.01,1.0,0.0114295491681229,0.5102099571075231,7.726856597230124e-08
0.01,1.0,0.0114295491681229,0.573195041625182,7.347267159200814e-08
0.01,1.0,0.0114295491681229,0.6439555935096224,7.00981756866258e-08
0.01,1.0,0.0114295491681229,0.7234514891067266,6.674361617922622e-08
0.01,1.0,0.0114295491681229,0.8127611008676167,6.308835839706496e-08
0.01,1.0,0.0114295491681229,0.9130959256151152,5.892903929761271e-08
0.01,1.0,0.0114295491681229,1.0258170186601063,5.4175021914007323e-08
0.01,1.0,0.0114295491681229,1.1524534566987763,4.8851966856992806e-08
0.01,1.0,0.0114295491681229,1.294723079942415,4.312520681288586e-08
0.01,1.0,0.0114295491681229,1.4545557948495271,3.725474564917227e-08
0.01,1.0,0.0114295491681229,1.6341197535649394,3.164508338518308e-08
0.01,1.0,0.0114295491681229,1.835850765193496,2.666597370181326e-08
0.01,1.0,0.0114295491681229,2.062485337876194,2.2390863466410885e-08
0.01,1.0,0.0114295491681229,2.3170977998889395,1.8453726984668012e-08
0.01,1.0,0.0114295491681229,2.6031420033166066,1.4867955654304328e-08
0.01,1.0,0.0114295491681229,2.9244981760182918,1.1831586415744614e-08
0.01,1.0,0.0114295491681229,3.285525557436941,9.464219619354681e-09
0.01,1.0,0.0114295491681229,3.6911215322651687,7.569213457449985e-09
0.01,1.0,0.0114295491681229,4.1467880641233,5.925779692159145e-09
0.01,1.0,0.0114295491681229,4.658706330431421,4.584274895388946e-09
0.01,1.0,0.0114295491681229,5.233820570907402,3.5968983782267035e-09
0.01,1.0,0.0114295491681229,5.879932287106996,2.8179601261079903e-09
0.01,1.0,0.0114295491681229,6.605806070835402,2.159212589500903e-09
0.01,1.0,0.0114295491681229,7.421288497006765,1.6563714640625402e-09
0.01,1.0,0.0114295491681229,8.337441693749241,1.2982668551785774e-09
0.01,1.0,0.0114295491681229,9.366693401651878,9.96259540567696e-10
0.01,1.0,0.0114295491681229,10.523005557727087,7.558953503956212e-10
0.01,1.0,0.0114295491681229,11.822063690952728,5.916040839903368e-10
0.01,1.0,0.0114295491681229,13.281489698569583,4.568772624868354e-10
0.01,1.0,0.0114295491681229,14.921080889473224,3.4623965008419176e-10
0.01,1.0,0.0114295491681229,16.763078537355728,2.7209931654042787e-10
0.01,1.0,0.0114295491681229,18.83246958655666,2.1241691855831258e-10
0.01,1.0,0.0114295491681229,21.157325603303395,1.6222018897350195e-10
0.01,1.0,0.0114295491681229,23.769183570259635,1.292638802909924e-10
0.01,1.0,0.0114295491681229,26.70347368991138,1.0258862222953609e-10
0.01,1.0,0.0114295491681229,30.0,8.021278862422819e-11
0.01,1.0,0.0122192246779934,0.1,2.2508450314474923e-07
0.01,1.0,0.0122192246779934,0.1123449344020514,2.0880768386659543e-07
0.01,1.0,0.0122192246779934,0.1262138428580125,1.9354352523569174e-07
0.01,1.0,0.0122192246779934,0.1417948589651424,1.7903004460744175e-07
0.01,1.0,0.0122192246779934,0.1592993412898707,1.651462650209295e-07
