cosTh;P
-9.95541e-1; 4.58857e-1
-8.57302e-1; 5.13009e-1
-6.92308e-1; 5.83169e-1
-7.74805e-1; 5.46240e-1
-9.26421e-1; 4.85933e-1
-6.20959e-1; 6.15175e-1
-5.47380e-1; 6.52109e-1
-4.73802e-1; 6.90277e-1
-4.06912e-1; 7.27215e-1
-3.40022e-1; 7.66619e-1
-2.86511e-1; 7.98636e-1
-2.24080e-1; 8.38043e-1
-1.66109e-1; 8.77452e-1
-1.08138e-1; 9.16862e-1
-5.46265e-2; 9.57507e-1
-2.78707e-2; 9.73515e-1
3.34448e-3; 9.90753e-1
4.79376e-2; 9.95656e-1
1.68339e-1; 9.98047e-1
3.11037e-1; 9.97959e-1
4.76031e-1; 9.99090e-1
6.85619e-1; 1.00019e+0
8.23857e-1; 1.00011e+0
9.95541e-1; 1.00000e+0
